ColumnName,DataType
TradeDate,"Datetime(time_unit='ms', time_zone=None)"
EventTimestamp,"Datetime(time_unit='us', time_zone=None)"
LocalTimestamp,"Datetime(time_unit='us', time_zone=None)"
TimestampNanoseconds,"Datetime(time_unit='ns', time_zone=None)"
TZOffset,Int32
BidPrice1,Float64
BidQuantity1,Int64
BidNumOrders1,Int32
AskPrice1,Float64
AskQuantity1,Int64
AskNumOrders1,Int32
BidPrice2,Float64
BidQuantity2,Int64
BidNumOrders2,Int32
AskPrice2,Float64
AskQuantity2,Int64
AskNumOrders2,Int32
BidPrice3,Float64
BidQuantity3,Int64
BidNumOrders3,Int32
AskPrice3,Float64
AskQuantity3,Int64
AskNumOrders3,Int32
BidPrice4,Float64
BidQuantity4,Int64
BidNumOrders4,Int32
AskPrice4,Float64
AskQuantity4,Int64
AskNumOrders4,Int32
BidPrice5,Float64
BidQuantity5,Int64
BidNumOrders5,Int32
AskPrice5,Float64
AskQuantity5,Int64
AskNumOrders5,Int32
BidPrice6,Float64
BidQuantity6,Int64
BidNumOrders6,Int32
AskPrice6,Float64
AskQuantity6,Int64
AskNumOrders6,Int32
BidPrice7,Float64
BidQuantity7,Int64
BidNumOrders7,Int32
AskPrice7,Float64
AskQuantity7,Int64
AskNumOrders7,Int32
BidPrice8,Float64
BidQuantity8,Int64
BidNumOrders8,Int32
AskPrice8,Float64
AskQuantity8,Int64
AskNumOrders8,Int32
BidPrice9,Float64
BidQuantity9,Int64
BidNumOrders9,Int32
AskPrice9,Float64
AskQuantity9,Int64
AskNumOrders9,Int32
BidPrice10,Float64
BidQuantity10,Int64
BidNumOrders10,Int32
AskPrice10,Float64
AskQuantity10,Int64
AskNumOrders10,Int32
BidLevelCount,Int32
AskLevelCount,Int32
L2EventNo,Int64
MIC,String
Ticker,String
ListingId,Int64
CurrencyCode,String
